CompanyName,symbol,CIK,SIC,Email,NAICS,Sector,Address,Website,Industry,Telephone,Facsimile,Fiscal Year End,Business Description,Market
Aberdeen International Inc.,AAB,,"
7214 ",dstein@aberdeeninternational.ca,Portfolio Management(523920),Financial Services,"65 Queen Street West, 	Suite 815, P.O. Box 75, 	Toronto, ON, CAN, M5H 2M5	",http://www.aberdeeninternational.ca,Asset Management,+1 416 861-5812,+1 416 861-8165,"
	01/2019",Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector. The company seeks to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued high-quality resources.,TSX
Advantage Oil & Gas Ltd.,AAV,1468079,"
",ir@advantageog.com,Crude Petroleum Extraction(211120),Energy,"440 - 2nd Avenue SW, 	Suite 300, 	Calgary, AB, CAN, T2P 5E9	",http://www.advantageog.com,Oil & Gas - E&P,+1 403 718-8000,+1 403 718-8332,"
	12/2018",Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada. It operates a portion of assets located in the Montney resource play in Western Canada. Development and delineation is the company's primary focus with delineation conducted through drilling and testing wells throughout the Montney.,TSX
Absolute Software Corporation,ABT,1071058,"
7721 ",absolutejobs@absolute.com,Software Publishers(511210),Technology,"1055 Dunsmuir Street, 	Suite 1400, P.O. Box 49211, 	Vancouver, BC, CAN, V7X 1K8	",http://www.absolute.com,Application Software,+1 604 730-9851,+1 604 730-2621,"
	06/2018","Absolute Software Corp provides endpoint security and data risk management solutions for commercial, healthcare, education and government customers. Its products and solutions include endpoint security, industry solutions, application resiliency, endpoint data discovery, professional services and investigations. The company's products and solutions are powered by its patented persistence technology. It generates the majority of sales in North America.",TSX
Barrick Gold Corporation,ABX,756894,"
",investor@barrick.com,Gold Ore Mining(212221),Basic Materials,"161 Bay Street, Brookfield Place, 	Suite 3700, P.O. Box 212, 	Toronto, ON, CAN, M5J 2S1	",http://www.barrick.com,Metals & Mining,+1 416 861-9911,+1 416 861-2492,"
	12/2018","Based in Toronto, Barrick Gold is one of the world's largest gold producers, operating mines in North America, South America, Australia, and Africa. In 2018, the firm produced roughly 4.5 million attributable ounces of gold and more than 380 million pounds of copper. Gold production will rise following the acquisition of Randgold at the end of 2018. As of Dec. 31, 2018, Barrick had 75 million ounces and 7.6 billion pounds of proven and probable gold and copper reserves, respectively, including recently acquired assets.",TSX
Air Canada,AC,1002819,"
4511 ",shareholders.actionnaires@aircanada.ca,Scheduled Passenger Air Transportation(481111),Industrials,"7373 Cote Vertu Boulevard West, 		Saint-Laurent, QC, CAN, H4S 1Z3	",http://www.aircanada.com,Airlines,+1 514-422-5000,+1 514-422-0296,"
	12/2016","Air Canada is Canada's largest airline, serving nearly 40 million passengers annually together with its regional partners. Air Canada provides over 1,500 daily flights to around 200 destinations and is a founding member of the Star Alliance. In 2016, the company generated CAD 14.7 billion in total revenue, split across passenger services (roughly 90% of revenue), cargo (4%), and other (6%).",TSX
Aurora Cannabis Inc.,ACB,1683541,"
3741 ",ir@auroramj.com,Medicinal and Botanical Manufacturing(325411),Healthcare,"10355 Jasper Avenue, 	Suite 500, 	Edmonton, AB, CAN, T5J 1Y6	",http://www.auroramj.com,Drug Manufacturers,+1 855 279-4652,,"
	06/2018","Aurora Cannabis Inc is a Canada-based company engaged in the production and distribution of medical cannabis. The Company is vertically integrated and horizontally diversified across every key segment of the value chain from facility engineering and design to cannabis breeding and genetics research, cannabis, and hemp production, derivatives, home cultivation, wholesale and retail distribution. The Company's purpose-built facilities which integrate technologies across all processes are defined by automation and customization. The Company has a funded capacity of more than 625,000 kilograms per year as well as sales and operations in 24 countries worldwide.",TSX
Accord Financial Corp.,ACD,,"
7121 ",sadair@accordfinancial.com,Sales Financing(522220),Financial Services,"40 Eglinton Avenue East, 	Suite 602, 	Toronto, ON, CAN, M4P 3A2	",https://www.accordfinancial.com,Credit Services,+1 800 967-0015,+1 416 961-9443,"
	12/2018","Accord Financial Corp is a provider of asset-based financial services to businesses. Its asset-based financial services include asset-based lending, including factoring, lease financing, working capital financing, credit protection and receivables management, and supply chain financing for importers. Its revenue comprises interest, including discount fees, and factoring commissions from the company's asset-based financial services, including factoring and leasing, and is measured at the fair value of the consideration received.",TSX
AltaGas Canada Inc.,ACI,,"
4921 ",,Natural Gas Distribution(221210),Utilities,"1700, 355 - 4th Avenue SW, 		Calgary, AB, CAN, T2P 0J1	",https://www.altagas.ca,Utilities - Regulated,+1 587 955-3660,,"
	12/2018","AltaGas Canada Inc is a Canadian company with natural gas distribution utilities and renewable power generation assets. ACI serves approximately 130,000 customers, delivering low carbon energy, safely and reliably.",TSX
ATCO Ltd.,ACO.X,1261317,"
4911 ",,Other Electric Power Generation(221118),Utilities,"5302 Forand Street SW, 	4th floor, West Building, 	Calgary, AB, CAN, T3E 8B4	",http://www.atco.com,Utilities - Regulated,+1 403 292-7500,+1 403 292-7532,"
	12/2018","Atco Ltd is a Canadian holding company that offers gas, electric, and infrastructure solutions. The largest subsidiary of the company is Canadian utilities, which operates natural gas, electricity, and logistical services. Atco's primary segments include electricity (generation, transmission, and distribution), pipelines and liquid, Neltume Ports and Structures and logistics. Headquartered in Calgary, Alberta, the firm mainly operates in Canada and Australia, along with some operations in the United States, the United Kingdom, and Mexico. Atco's large subsidiary, Canadian Utilities, launched a major venture called Atcoenergy, which provides low-cost and sustainable energy solutions for the Canadian province of Alberta.",TSX
AutoCanada Inc.,ACQ,,"
6311 ",president@autocan.ca,New Car Dealers(441110),Consumer Cyclical,"200, 15511 123 Avenue NW, 		Edmonton, AB, CAN, T5V 0C3	",https://www.autocan.ca,Autos,+1 780 509-2808,+1 780 447-0651,"
	12/2018","AutoCanada Inc operates car dealerships in Canada. The company offers new and used vehicles, spare parts, maintenance services, and customer financing. AutoCanada retails brands such as Chrysler, Dodge, Jeep, Ram, Cadillac, Chevrolet, Buick, GMC, Audi, Volkswagen, BMW, Mini, Infiniti, Nissan, Hyundai, Kia, Fiat, Mitsubishi and Subaru. The majority of revenue is generated in the new-vehicles sales segment. However, the spare-parts segment delivers the largest contribution to operating profits, followed by financing operations.",TSX
